id,kode,nama,biaya_panggilan_id
1,,Kota / Kabupaten Lain,5
2,00.00,Kota / Kabupaten Lain,5
3,00.00.00,Kecamatan Lain,5
4,11,ACEH,
5,11.01,KAB. ACEH SELATAN,
6,11.01.01,Bakongan,
7,11.01.01.2001,Keude Bakongan,
8,11.01.01.2002,Ujong Mangki,
9,11.01.01.2003,Ujong Padang,
10,11.01.01.2004,Gampong Drien,
11,11.01.01.2015,Darul Ikhsan,
12,11.01.01.2016,Padang Beurahan,
13,11.01.01.2017,Gampong Baro,
14,11.01.02,Kluet Utara,
15,11.01.02.2001,Fajar Harapan,
16,11.01.02.2002,Krueng Batee,
17,11.01.02.2003,Pasi Kuala Asahan,
18,11.01.02.2004,Gunung Pulo,
19,11.01.02.2005,Pulo Ie I,
20,11.01.02.2006,Jambo Manyang,
21,11.01.02.2007,Simpang Empat,
22,11.01.02.2008,Limau Purut,
23,11.01.02.2009,Pulo Kambing,
24,11.01.02.2010,Kampung Paya,
25,11.01.02.2011,Krueng Batu,
26,11.01.02.2012,Krueng Kluet,
27,11.01.02.2013,Alur Mas,
28,11.01.02.2014,Kampung Tinggi,
29,11.01.02.2015,Ruak,
30,11.01.02.2016,Simpang Lhee,
31,11.01.02.2017,Suaq Geuringgeng,
32,11.01.02.2018,Pasi Kuala Ba.u,
33,11.01.02.2019,Kedai Padang,
34,11.01.02.2020,Kotafajar,
35,11.01.02.2021,Gunung Pudung,
36,11.01.03,Kluet Selatan,
37,11.01.03.2001,Suaq Bakung,
38,11.01.03.2002,Rantau Binuang,
39,11.01.03.2003,Barat Daya,
40,11.01.03.2004,Sialang,
41,11.01.03.2005,Kapeh,
42,11.01.03.2006,Pulo Ie,
43,11.01.03.2007,Kedai Runding,
44,11.01.03.2008,Kedai Kandang,
45,11.01.03.2009,Gampong Luar,
46,11.01.03.2010,Ujung,
47,11.01.03.2011,Jua,
48,11.01.03.2012,Pasi Meurapat,
49,11.01.03.2013,Ujung Pasir,
50,11.01.03.2014,Geulumbuk,
51,11.01.03.2015,Pasie Lembang,
52,11.01.03.2016,Ujung Padang,
53,11.01.03.2017,Indra Damai,
54,11.01.04,Labuhan Haji,
55,11.01.04.2001,Bakau Hulu,
56,11.01.04.2002,Padang Bakau,
57,11.01.04.2003,Manggis Harapan,
58,11.01.04.2004,Pasar Lama,
59,11.01.04.2005,Apha,
60,11.01.04.2006,Ujung Batu,
61,11.01.04.2007,Pawoh,
62,11.01.04.2008,Dalam,
63,11.01.04.2009,Kota Palak,
64,11.01.04.2010,Cacang,
65,11.01.04.2011,Tengah Pisang,
66,11.01.04.2012,Pisang,
